x,y,z
-164.26934814453125,-134.1755828857422,0
-164.25692749023438,-118.27891540527344,0
-164.21041870117188,-117.34454345703125,0
-164.10186767578125,-116.32064819335938,0
-164.01751708984375,-115.78164672851562,0
-163.90945434570312,-115.22805786132812,0
-163.77496337890625,-114.66249084472656,0
-163.61123657226562,-114.08757019042969,0
-163.41561889648438,-113.50582885742188,0
-163.18533325195312,-112.91993713378906,0
-162.91763305664062,-112.33245849609375,0
-162.60983276367188,-111.74600219726562,0
-162.25912475585938,-111.16319274902344,0
-161.86282348632812,-110.58662414550781,0
-161.41818237304688,-110.01887512207031,0
-160.92245483398438,-109.46255493164062,0
-160.37289428710938,-108.92027282714844,0
-159.76678466796875,-108.39460754394531,0
-159.10134887695312,-107.88819885253906,0
-158.3739013671875,-107.40361022949219,0
-157.58169555664062,-106.94346618652344,0
-156.72198486328125,-106.51036071777344,0
-155.7919921875,-106.10688781738281,0
-154.78904724121094,-105.73567199707031,0
-153.71035766601562,-105.39927673339844,0
-152.55323791503906,-105.100341796875,0
-151.31491088867188,-104.84144592285156,0
-149.99264526367188,-104.62519836425781,0
-148.58372497558594,-104.45417785644531,0
-147.08538818359375,-104.33100891113281,0
-143.80955505371094,-104.23863220214844,0
-143.8095703125,-104.23863220214844,0
-93.24112701416016,-104.232421875,0
-93.24112701416016,-104.232421875,0
-91.0770492553711,-104.18498229980469,0
-89.02076721191406,-104.06086730957031,0
-87.06968688964844,-103.8642578125,0
-85.22119903564453,-103.59928894042969,0
-83.47272491455078,-103.27009582519531,0
-81.82167053222656,-102.880859375,0
-80.26541900634766,-102.43580627441406,0
-78.8013916015625,-101.93899536132812,0
-77.427001953125,-101.39468383789062,0
-76.13961791992188,-100.80694580078125,0
-74.93669128417969,-100.17997741699219,0
-73.81558227539062,-99.51795959472656,0
-72.77371978759766,-98.82504272460938,0
-71.80850982666016,-98.10537719726562,0
-70.9173355102539,-97.36312866210938,0
-70.09762573242188,-96.60244750976562,0
-69.34677124023438,-95.82752990722656,0
-68.66218566894531,-95.04249572753906,0
-68.041259765625,-94.25152587890625,0
-67.48140716552734,-93.45878601074219,0
-66.98002624511719,-92.66842651367188,0
-66.53453063964844,-91.88461303710938,0
-66.14231872558594,-91.11151123046875,0
-65.80078887939453,-90.35328674316406,0
-65.50735473632812,-89.61405944824219,0
-65.25941467285156,-88.89805603027344,0
-65.05437469482422,-88.20939636230469,0
-64.88964080810547,-87.55223083496094,0
-64.76261138916016,-86.93077087402344,0
-64.67070007324219,-86.34912109375,0
-64.61131286621094,-85.81147766113281,0
-64.58183288574219,-85.32199096679688,0
-64.58183288574219,-85.32199096679688,0
-64.74983215332031,-69.98176574707031,0
-65.23394012451172,-65.91058349609375,0
-65.22209167480469,-51.50630187988281,0
-65.22209167480469,-51.50630187988281,0
-65.38230895996094,-49.45585632324219,0
-65.58939361572266,-47.63786315917969,0
-65.83635711669922,-46.01112365722656,0
-66.1162109375,-44.5345458984375,0
-67.42503356933594,-39.30644226074219,0
-68.0953369140625,-36.523101806640625,0
-68.70177459716797,-33.18791198730469,0
-69.18850708007812,-28.971633911132812,0
-69.49967956542969,-23.544960021972656,0
-69.49967956542969,-23.544960021972656,0
-69.14924621582031,21.321388244628906,0
-69.14924621582031,21.321388244628906,0
-69.14924621582031,65.65140533447266,0
-69.14924621582031,65.65140533447266,0
-69.03953552246094,67.2531967163086,0
-68.95157623291016,68.01333618164062,0
-68.8385238647461,68.74293518066406,0
-68.6980972290039,69.43948364257812,0
-68.52802276611328,70.1004409790039,0
-68.3260269165039,70.72329711914062,0
-68.21234130859375,71.01964569091797,0
-68.08982849121094,71.30552673339844,0
-67.95819854736328,71.58061981201172,0
-67.81716918945312,71.8446044921875,0
-67.66644287109375,72.09717559814453,0
-67.50575256347656,72.3380126953125,0
-67.33480072021484,72.56680297851562,0
-67.15331268310547,72.78321838378906,0
-66.96100616455078,72.98696899414062,0
-66.75758361816406,73.17771911621094,0
-66.54277038574219,73.35515594482422,0
-66.31629180908203,73.51897430419922,0
-66.07784271240234,73.66883850097656,0
-65.8271484375,73.80445861816406,0
-65.56391906738281,73.92550659179688,0
-65.28787994384766,74.03166198730469,0
-64.99874877929688,74.12261199951172,0
-64.69622802734375,74.19805145263672,0
-64.69622039794922,74.19805145263672,0
7.566612243652344,74.19805145263672,0
7.903255462646484,74.20658111572266,0
8.235504150390625,74.23189544677734,0
8.562957763671875,74.27356719970703,0
8.885204315185547,74.33120727539062,0
9.201820373535156,74.40438079833984,0
9.512397766113281,74.49269104003906,0
9.816520690917969,74.59571075439453,0
10.113780975341797,74.71304321289062,0
10.403762817382812,74.84425354003906,0
10.686046600341797,74.98895263671875,0
10.96023178100586,75.1467056274414,0
11.22589111328125,75.31710815429688,0
11.482627868652344,75.499755859375,0
11.730010986328125,75.69422149658203,0
11.967639923095703,75.90010070800781,0
12.195098876953125,76.11697387695312,0
12.411972045898438,76.34443664550781,0
12.617851257324219,76.58206939697266,0
12.81231689453125,76.82945251464844,0
12.994956970214844,77.08618927001953,0
13.165363311767578,77.35185241699219,0
13.323116302490234,77.62603759765625,0
13.467803955078125,77.9083251953125,0
13.599021911621094,78.19830322265625,0
13.716346740722656,78.49556732177734,0
13.819366455078125,78.79969024658203,0
13.907672882080078,79.11026763916016,0
13.980850219726562,79.42688751220703,0
14.038482666015625,79.74913024902344,0
14.080162048339844,80.07658386230469,0
14.105472564697266,80.40884399414062,0
14.113998413085938,80.7454833984375,0
14.113967895507812,89.51019287109375,0
14.113967895507812,89.51019287109375,0
14.111251831054688,89.65960693359375,0
14.103164672851562,89.80799865722656,0
14.08981704711914,89.955322265625,0
14.0712890625,90.1015396118164,0
14.019123077392578,90.39046478271484,0
13.947425842285156,90.6744384765625,0
13.857002258300781,90.95311737060547,0
13.74863052368164,91.22616577148438,0
13.623069763183594,91.49324798583984,0
13.481128692626953,91.75401306152344,0
13.323566436767578,92.00813293457031,0
13.151172637939453,92.25526428222656,0
12.964725494384766,92.49505615234375,0
12.765003204345703,92.72718811035156,0
12.55279541015625,92.95130157470703,0
12.328880310058594,93.16706848144531,0
12.09402847290039,93.3741455078125,0
11.849021911621094,93.57218933105469,0
11.594654083251953,93.7608642578125,0
11.331695556640625,93.93983459472656,0
11.060924530029297,94.10874938964844,0
